Latitude,Longitude,Name,Mobile,Address,Capacity
15.497094,73.824605,North Goa Civil Supplies Godown - Tiswadi,0,"Junta House, Panaji",550 MTs
15.689187,73.791728,North Goa Civil Supplies Godown - Pernem,0,"Tuem, Pernem",550 MTs
15.545971,74.054574,North Goa Civil Supplies Godown - Sattari,0,"Near Police Out Post, Honda, Valpoi",550 MTs
15.569686,74.001234,North Goa Civil Supplies Godown - Bicholim,0,"Karapur Tisk, Bicholim",2000 MTs
15.594108,73.809506,North Goa Civil Supplies Godown - Bardez,0,"Dattawadi, Mapusa",1100 MTs
15.400078,74.018920,South Goa Civil Supplies Godown - Ponda,0,"Nirankal Road,Bethoda Curti, Ponda",2000 MTs
15.407860,73.909097,South Goa Civil Supplies Godown - Salcete,0,"Near Ferry Warf, Cortalim",2000 MTs
15.407860,73.909097,South Goa Civil Supplies Godown - Mormugao,0,"Near Ferry Warf, Cortalim",2000 MTs
15.264996,74.106709,South Goa Civil Supplies Godown - Quepem,0,Curchorem,550 MTs
15.225900,74.140365,South Goa Civil Supplies Godown - Sanguem,0,"Dando, Sanguem",500 MTs
15.006774,74.057864,South Goa Civil Supplies Godown - Canacona,0,"Opposite Police Station, Canacona",550 MTs
