Latitude,Longitude,Type,Name,Beds,Phone_1,Phone_2,Email_1,Email_2
15.597161,73.820756,District Hospital,North Goa District Hospital Mapusa,300,8322262292,,asilosa-heal.goa@nic.in,asilohospital@gmail.com
15.278962,73.961132,District Hospital,"Hospicio Hospital, Margao.",250,8322735766,8322705664,hospicio-heal.goa@nic.in,paedhospicio@gmail.com
15.400478,73.831852,District Hospital,"Sub District Hospital, Chicalim",60,8322540555,8322540864,cottage-heal.goa@nic.in,cottagehospitalgoa@gmail.com
15.280408,73.964269,District Hospital,"T.B. Hospital, Margao",68,0,,tbhospital-heal.goa@nic.in,
15.393208,74.005870,District Hospital,"Sub District Hospital, Ponda",220,8322312116,8322312115,subdistrict-heal.goa@nic.in,subdistricthospitalponda@gmail.com
14.993332,74.047756,CHC,Canacona,70,8322643339,8322643422,,chccanacona@gmailcom
15.255550,74.109586,CHC,Curchorem,50,8322650566,,,chccurchorem@hotmail.com
15.689957,73.793545,CHC,Pernem,40,8322291249,,chcpernem-heal.goa@nic.in,chctuem@yahoo.in
15.529107,74.130984,CHC,Valpoi,30,8322374260,8322375234,chcvalpoi-heal.goa@nic.in,chcvalpoi@hotmail.com
15.584553,73.959575,CHC,Bicholim,30,8322362050,8322362041,phcbicholim-heal.goa@nic.in,phcbicholim2012@gmail.com
15.557473,74.015929,CHC,Sankhlim,70,8322364258,8322366697,phcsankhali-heal.goa@nic.in,phcsankhali@rocketmail.com
15.577869,73.862701,PHC,Aldona,12,8322293251,,,phcaldona@yahoo.co.in
15.513109,73.983256,PHC,Betki,12,8322287160,8322399658,phcbetki-heal.goa@nic.in,phcbetki@hotmail.com
15.515237,73.767987,PHC,Candolim,12,8322489747,8322489035,phccandolim-heal.goa@nic.in,candolimphc@yahoo.in
15.713128,73.874739,PHC,Cansarvanem,12,8322205222,,phc_cans@rediffmail.com,phccansarvarnem@gmail.com
15.642271,73.837497,PHC,Colvale,0,8322299870,,phccolvale-heal.goa@nic.in,phc_colvale@rediffmail.com
15.489824,73.937023,PHC,Corlim,0,8322285769,,phccorlim-heal.goa@nic.in,phccorlim@hotmail.com
15.467765,73.865681,PHC,Chimbel,0,8322458933,,,phcchimbel@gmail.com
15.614027,73.771711,PHC,Siolim,12,8322272687,,phcsiolim-heal.goa@nic.in,phcsiolim@rediffmail.com
