Latitude,Longitude,Name,Incharge,Mobile,Address,Capacity,Current Stock,Last Updated
15.497094,73.824605,North Goa Civil Supplies Godown - Tiswadi,Mr. ...,0,"Junta House, Panaji",550 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.689187,73.791728,North Goa Civil Supplies Godown - Pernem,Mr. ...,0,"Tuem, Pernem",550 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.545971,74.054574,North Goa Civil Supplies Godown - Sattari,Mr. ...,0,"Near Police Out Post, Honda, Valpoi",550 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.569686,74.001234,North Goa Civil Supplies Godown - Bicholim,Mr. ...,0,"Karapur Tisk, Bicholim",2000 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.594108,73.809506,North Goa Civil Supplies Godown - Bardez,Mr. ...,0,"Dattawadi, Mapusa",1100 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.400078,74.018920,South Goa Civil Supplies Godown - Ponda,Mr. ...,0,"Nirankal Road,Bethoda Curti, Ponda",2000 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.407860,73.909097,South Goa Civil Supplies Godown - Salcete,Mr. ...,0,"Near Ferry Warf, Cortalim",2000 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.407860,73.909097,South Goa Civil Supplies Godown - Mormugao,Mr. ...,0,"Near Ferry Warf, Cortalim",2000 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.264996,74.106709,South Goa Civil Supplies Godown - Quepem,Mr. ...,0,Curchorem,550 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.225900,74.140365,South Goa Civil Supplies Godown - Sanguem,Mr. ...,0,"Dando, Sanguem",500 MTs,"(Rice, Wheat, etc.)",12/30/1899
15.006774,74.057864,South Goa Civil Supplies Godown - Canacona,Mr. ...,0,"Opposite Police Station, Canacona",550 MTs,"(Rice, Wheat, etc.)",12/30/1899
