Id,Latitude,Longitude,Station,Station,Name,-,Mobile,Mobile2,Landline,-,Email,No. of Fire Appliances,Trained Personnel Count,Last Updated
1,15.58962,73.94663,Bicholim FS,Loading...,,,,,,,,,,
2,15.00628,74.05806,Canacona FS,Loading...,,,,,,,,,,
3,15.26025,74.10357,Curchorem FS,Loading...,,,,,,,,,,
4,15.48691,73.8174,FFHQ FS,Loading...,,,,,,,,,,
5,15.46602,73.96251,Kundaim FS,Loading...,,,,,,,,,,
6,15.58984,73.80877,Mapusa FS,Loading...,,,,,,,,,,
7,15.26931,73.97033,Margao FS,Loading...,,,,,,,,,,
8,15.50009,73.91408,Old Goa FS,Loading...,,,,,,,,,,
9,15.48577,73.81656,Panaji FS,Loading...,,,,,,,,,,
10,15.71982,73.79632,Pernem FS,Loading...,,,,,,,,,,
11,15.53304,73.79334,Pilerne FS,Loading...,,,,,,,,,,
12,15.40309,74.00276,Ponda FS,Loading...,,,,,,,,,,
13,15.52995,74.13011,Valpoi FS,Loading...,,,,,,,,,,
14,15.4003,73.8207,Vasco FS,Loading...,,,,,,,,,,
15,15.3694,73.93567,Verna FS,Loading...,,,,,,,,,,
16,15.5228,73.82948,Porvorim FS,Loading...,,,,,,,,,,
17,15.1863,74.0211,Cuncolim FS,Loading...,,,,,,,,,,
