Latitude,Longitude,Type,Name,Phone_1,Phone_2,Email_1,Email_2,Total Beds,ICU Beds,Oxygen Beds,Ventilators,Trauma Care,Blood Bank,Ambulance Available,Medical Super Name
15.597161,73.820756,District Hospital,North Goa District Hospital Mapusa,8322262292,,asilosa-heal.goa@nic.in,asilohospital@gmail.com,300,,,,,,,
15.278962,73.961132,District Hospital,"Hospicio Hospital, Margao.",8322735766,8322705664,hospicio-heal.goa@nic.in,paedhospicio@gmail.com,250,,,,,,,
15.400478,73.831852,District Hospital,"Sub District Hospital, Chicalim",8322540555,8322540864,cottage-heal.goa@nic.in,cottagehospitalgoa@gmail.com,60,,,,,,,
15.280408,73.964269,District Hospital,"T.B. Hospital, Margao",0,,tbhospital-heal.goa@nic.in,,68,,,,,,,
15.393208,74.005870,District Hospital,"Sub District Hospital, Ponda",8322312116,8322312115,subdistrict-heal.goa@nic.in,subdistricthospitalponda@gmail.com,220,,,,,,,
14.993332,74.047756,CHC,Canacona,8322643339,8322643422,,chccanacona@gmailcom,70,,,,,,,
15.255550,74.109586,CHC,Curchorem,8322650566,,,chccurchorem@hotmail.com,50,,,,,,,
15.689957,73.793545,CHC,Pernem,8322291249,,chcpernem-heal.goa@nic.in,chctuem@yahoo.in,40,,,,,,,
15.529107,74.130984,CHC,Valpoi,8322374260,8322375234,chcvalpoi-heal.goa@nic.in,chcvalpoi@hotmail.com,30,,,,,,,
15.584553,73.959575,CHC,Bicholim,8322362050,8322362041,phcbicholim-heal.goa@nic.in,phcbicholim2012@gmail.com,30,,,,,,,
15.557473,74.015929,CHC,Sankhlim,8322364258,8322366697,phcsankhali-heal.goa@nic.in,phcsankhali@rocketmail.com,70,,,,,,,
15.577869,73.862701,PHC,Aldona,8322293251,,,phcaldona@yahoo.co.in,12,,,,,,,
15.513109,73.983256,PHC,Betki,8322287160,8322399658,phcbetki-heal.goa@nic.in,phcbetki@hotmail.com,12,,,,,,,
15.515237,73.767987,PHC,Candolim,8322489747,8322489035,phccandolim-heal.goa@nic.in,candolimphc@yahoo.in,12,,,,,,,
15.713128,73.874739,PHC,Cansarvanem,8322205222,,phc_cans@rediffmail.com,phccansarvarnem@gmail.com,12,,,,,,,
15.642271,73.837497,PHC,Colvale,8322299870,,phccolvale-heal.goa@nic.in,phc_colvale@rediffmail.com,0,,,,,,,
15.489824,73.937023,PHC,Corlim,8322285769,,phccorlim-heal.goa@nic.in,phccorlim@hotmail.com,0,,,,,,,
15.467765,73.865681,PHC,Chimbel,8322458933,,,phcchimbel@gmail.com,0,,,,,,,
15.614027,73.771711,PHC,Siolim,8322272687,,phcsiolim-heal.goa@nic.in,phcsiolim@rediffmail.com,12,,,,,,,
15.526437,73.834028,PHC,Porvorim,8322411991,,phcporvorim-heal.goa@gov.in,,0,,,,,,,
15.583450,73.931592,PHC,Mayem,8322225561,,,mayemphc@gmail.com,0,,,,,,,
15.151090,74.019923,PHC,Bali,8322670965,8322670216,,phcballi@gmail.com,24,,,,,,,
15.346746,73.896801,PHC,Cansaulim,8322754036,,,phccansaulim@gmail.com,12,,,,,,,
15.213231,73.979390,PHC,Chinchinim,8322863237,8322862233,,phcchinchinim@gmail.com,0,,,,,,,
15.395273,73.925369,PHC,Cortalim,8322550274,,phccortalim-heal.goa@nic.in,cortalimphc@gmail.com,0,,,,,,,
15.291701,74.024354,PHC,Curtorim,8322786910,8322786206,,phccurtorimabc@gmail.com,12,,,,,,,
15.338976,73.990645,PHC,Loutolim,8322777140,,phcloutolim-heal.goa@nic.in,phc.loutolim@gmail.com,0,,,,,,,
15.422040,73.949720,PHC,Marcaim,8322392230,8322392007,phcmarcaim-heal.goa@nic.in,phcmarcaim4033@gmail.com,12,,,,,,,
15.216473,74.078052,PHC,Quepem,8322662636,,,phcquepem@rediffmail.com,24,,,,,,,
15.227851,74.154021,PHC,Sanguem,8322604017,8322604235,phcsanguem-heal.goa@nic.in,phcsanguem@rediffmail.com,20,,,,,,,
15.325310,74.021562,PHC,Shiroda,8322307373,8322306243,,phcshiroda@rediffmail.com,24,,,,,,,
15.417158,74.083018,PHC,"Pillem, Dharbandora",0,,phcpillem-heal.goa@nic.in,phcpilliem@yahoo.com,15,,,,,,,
15.393123,74.005687,PHC,Ponda,8322319006,,,chcponda@gmail.com,0,,,,,,,
15.256183,73.967097,PHC,Navelim,8322710700,,,phcnavelim123@gmail.com,0,,,,,,,
15.279584,73.959658,UHC,Margao,8322715004,8322711800,uhcmargao-heal.goa@nic.in,uhcmargao@hotmail.com,0,,,,,,,
15.592950,73.814584,UHC,Mapusa,8322262226,,uhcmapusa-heal.goa@nic.in,uhcmapusa@hotmail.com,0,,,,,,,
15.497879,73.826348,UHC,Panaji,8322426495,8322421327,uhcpanaji-heal.goa@nic.in,uhcpanaji@hotmail.com,0,,,,,,,
