Latitude,Longitude,Type,Name,Services Offered,Resources Available,Coverage Area,Contact Person,Mobile
15.375970,73.946770,Industry,Bharat Petroleum Corporation Ltd,,,,,0
15.495560,73.944710,Industry,Deccan Fine Chemicals INDIA Pvt Ltd,,,,,0
15.400120,73.824220,Industry,Goa Shipyard Ltd,,,,,0
15.399920,73.807640,Industry,Hindustan Petroleum Corporation Ltd,,,,,0
15.491090,73.977810,Industry,Hindustan Petroleum Corporation Ltd,,,,,0
15.369990,73.846240,Industry,Indian Coast Guard,,,,,0
15.374850,73.838790,Industry,Indian Navy (NAD),,,,,0
15.405090,73.802200,Industry,Indian Oil Corporation Ltd,,,,,0
15.399140,73.818470,Industry,INS Gomantak,,,,,0
15.391890,73.835750,Industry,INS Hansa,,,,,0
15.404010,73.804750,Industry,MPT Fire Services Mormugao,,,,,0
15.412830,73.789520,Industry,Western Indian Shipyard Ltd,,,,,0
15.380160,73.877690,Industry,Zuari Agrochemicals Ltd,,,,,0
15.384480,73.885250,Industry,Zuari Indian Oil Tanking Pvt Ltd,,,,,0
