Latitude,Longitude,Name,Phone 1,Phone 2,Block,Sarpanch,Mobile,Population
15.6425788,73.75966266,Agarwada Chopdem,2246254,,,,,
15.70420883,73.90235385,Allorna,2205221,,,,,
15.68872422,73.71204404,Arambol,2242966,,,,,
15.7339968,73.81502494,Casne-ambre-Porascadem,2201331,,,,,
15.71826794,73.87189856,Casarvarnem,2205220,,,,,
15.73218339,73.89997679,Chandel-Hasapur,2205100,,,,,
15.71205547,73.75111145,Corgao,2241189,,,,,
15.6684597,73.83836571,Dhargalim,2240250,,,,,
15.70820975,73.93660984,Ibrampur-Hankhane,2209222,,,,,
15.66298866,73.7270007,Mandrem,2247222,,,,,
15.6367931,73.74013983,Morjim,2244310,,,,,
15.68752578,73.88085482,Ozarim,2207110,,,,,
15.66856368,73.77908048,Parcem,2246247,,,,,
15.70608416,73.72083728,Paliem,2292128,,,,,
15.71577865,73.6968994,Querim-Tiracol,2292161,,,,,
15.7604242,73.84015803,Tamboxem-Mopa-Ugavem,2204511,,,,,
15.77081554,73.84585776,Torxem,2204510,,,,,
15.66745475,73.79685984,Tuem,2240585,,,,,
15.69990032,73.82245813,Vironda,2201336,,,,,
15.72693031,73.83497672,Warkhand-Nagzar,2204111,,,,,
15.63842391,73.89815878,Advalpale,2215211,,,,,
15.53400377,73.98214555,Amona,2386433,,,,,
15.54392579,74.01292838,Cudnem,2364217,,,,,
15.56455304,74.04559386,Harvalem,,,,,,
15.55743773,73.97858982,Karapur-Sarvan,2364273,,,,,
15.64593247,73.94085733,Latambarcem,2380113,,,,,
15.57901196,73.92047419,Maem-Vaiguinim,2387054,,,,,
15.69857551,73.89763723,Mencrem-Dhumacem,2210279,,,,,
15.60886163,73.9215985,Mulgao,2215261,,,,,
15.54982468,73.92146435,Naroa,2387012,,,,,
15.53038758,74.00739891,Navelim,2386111,,,,,
15.61297711,73.97685691,Ona-Maulingem-Curchirem,2361258,,,,,
15.47805251,74.06080943,Pale-Cothombi,2372226,,,,,
15.55532096,73.95118052,Piligao,2362364,,,,,
15.69258822,73.93037072,Salem,2389270,,,,,
15.60409492,73.90260932,Sirigao,3950398,,,,,
15.49913244,74.03039342,Surla,2353234,,,,,
15.50119632,74.05353708,Velguem,2353249,,,,,
15.45108315,73.92460686,Azossim-Mandur,2208160,,,,,
15.44761256,73.88344293,Batim,2217453,,,,,
15.48676473,73.93238913,Carambolim,2284964,,,,,
15.49587621,73.87270103,Chimbel,2449790,,,,,
15.55129593,73.89017752,Chodan-Madel,2239340,,,,,
15.4889796,73.93647891,Corlim,2285855,,,,,
15.51354397,73.94849158,Cumbharjua,2287004,,,,,
15.45841412,73.87277788,Curca-Bambolim-Talaulim,2218565,,,,,
15.53040046,74.00738879,Golti-Naveli,2280078,,,,,
15.48556338,73.85329581,Merces,2448058,,,,,
15.44308999,73.91739986,Neura,2208161,,,,,
15.47635668,73.84635464,St. Cruz,2448769,,,,,
15.44322615,73.86496945,Siridao-Pale,2218505,,,,,
15.44418093,73.88056828,St. Andre(Goa Velha),2218579,,,,,
15.5315976,73.94875509,St. Estevam,2287003,,,,,
15.4263801,73.89836743,St. Lawrence(Agassaim),2218519,,,,,
15.52967548,73.91255257,Sao Matias,2280079,,,,,
15.50080559,73.90944758,Se Old Goa,2285734,,,,,
15.47002281,73.81980077,Taliegao,2465354,,,,,
15.52997054,74.13012357,Bhirondem,2382169,,,,,
15.48213655,74.14337405,Cotorem,2378108,,,,,
15.60619679,74.14143128,Dongurli-Thane,2379274,,,,,
15.47429103,74.10894826,Guleli,2378493,,,,,
15.55083533,74.04616936,Honda,2370222,,,,,
15.54548826,74.1182989,Mauxi,2374279,,,,,
15.59282107,74.03922064,Morlem,2368382,,,,,
15.55705717,74.16009825,Nagargao,2374258,,,,,
15.52904343,74.07048087,Pissurlem,2352089,,,,,
15.58719748,74.02833247,Poriem,6410375,,,,,
15.45962034,73.99967743,Querim,2369277,,,,,
15.28129918,74.17984701,Sanvordem,2358151,,,,,
15.58896108,73.87427272,Aldona,2293242,,,,,
15.58931544,73.75103426,Anjuna-Caisua,2273246,,,,,
15.55123049,73.76543587,Arpora-Nagoa,2277147,,,,,
15.59976175,73.76828739,Assagao,2268218,,,,,
