Latitude,Longitude,Station,SHO Name,Mobile,Contact No,Email,Jurisdiction Area,Personnel Strength,Vehicles Available,Wireless Available,-,-,-,-,-,-,-,-
15.499821,73.824395,Panaji,Vijaykumar S. Chodankar,7875756022,"0832-2428482, Ext-311",pipanaji@goapolice.gov.in,Panaji,,,, ​ ,PANAJI POLICE STATION,"INCHARGE:- VIJAYKUMAR S. CHODANKAR, Police Inspector","Contact No: 0832-2428482, Ext-311",Mobile No: 7875756022,Email: pipanaji[at]goapolice[dot]gov[dot]in,Fax No:,
15.501129,73.914629,,,,,,Old Goa,,,,Loading...,,,,,,,
15.418797,73.903339,Agacaim,Anant A. Gaonkar,7875756023,0832-2218000,piagacaim@goapolice.gov.in,Agacaim,,,,,AGACAIM POLICE STATION,"INCHARGE: ANANT A. GAONKAR , Police Inspector",Contact No: 0832-2218000,Mobile No: 7875756023,Email: piagacaim[at]goapolice[dot]gov[dot]in,Fax No: 0832-2218000,
15.591515,73.808851,Mapusa,Nikhil N. Palekar,7875756026,0832-2262231,pimapusa@goapolice.gov.in,Mapusa,,,,,MAPUSA POLICE STATION,"INCHARGE: NIKHIL N. PALEKAR , Police Inspector",Contact No: 0832-2262231,Mobile No: 7875756026,Email: pimapusa[at]goapolice[dot]gov[dot]in,Fax No: 0832-2262207,
15.591010,73.743689,Anjuna,Suraj H. Gawas,7875756027,0832-2273233,pianjuna@goapolice.gov.in,Anjuna,,,,,ANJUNA POLICE STATION,"INCHARGE: SURAJ H. GAWAS , Police Inspector",Contact No: 0832-2273233,Mobile No: 7875756027,Email: pianjuna[at]goapolice[dot]gov[dot]in,Fax No: 0832-2273233,
15.717112,73.796693,Pernem,Sachin Lokre,7875756028,0832-2201233,pipernem@goapolice.gov.in,Pernem,,,,,PERNEM POLICE STATION,"INCHARGE: SACHIN LOKRE, Police Inspector",Contact No: 0832-2201233,Mobile No: 7875756028,Email: pipernem[at]goapolice[dot]gov[dot]in,Fax No: 0832-2201065,
15.619728,73.824680,Colvale,Sanjit B. Kandolkar,7875756234,0832-2993234,picolvale@goapolice.gov.in,Colvale,,,,,COLVALE POLICE STATION,"INCHARGE: SANJIT B. KANDOLKAR, Police Inspector",Contact No: 0832-2993234,Mobile No: 7875756234,Email: picolvale[at]goapolice[dot]gov[dot]in,Fax No: ,
15.517525,73.834477,Porvorim,Rahul Parab,7875756030,0832-2417704,piporvorim@goapolice.gov.in,Porvorim,,,,,PORVORIM POLICE STATION,"INCHARGE: RAHUL PARAB , Police Inspector",Contact No: 0832-2417704,Mobile No: 7875756030,Email: piporvorim[at]goapolice[dot]gov[dot]in,Fax No: 0832-2417704,
15.543124,73.779682,Calangute,Paresh G. Naik,7875756031,0832-2278284,picalangute@goapolice.gov.in,Calangute,,,,,CALANGUTE POLICE STATION,"INCHARGE: PARESH G. NAIK, Police Inspector",Contact No: 0832-2278284,Mobile No: 7875756031,Email: picalangute[at]goapolice[dot]gov[dot]in,Fax No: 0832-2409175,
15.535516,73.792954,Loading...,,,,,Saligao,,,,,Loading...,,,,,,
15.584871,73.959188,Loading...,,,,,Bicholim,,,,,Loading...,,,,,,
15.532023,74.138775,Valpoi,Videsh P. Shirdokar,7875756034,0832-2374255,pivalpoi@goapolice.gov.in,Valpoi,,,,,VALPOI POLICE STATION,"INCHARGE: VIDESH P. SHIRDOKAR, Police Inspector",Contact No: 0832-2374255,Mobile No: 7875756034,Email: pivalpoi[at]goapolice[dot]gov[dot]in,Fax No: 0832-2374255,
15.274557,73.956799,Loading...,,,,,Margao Town,,,,,Loading...,,,,,,
15.307712,73.974486,Maina Curtorim,Arun Dessai,7875756042,0832-2991307,pi-mainacurtorim@goapolice.gov.in,Maina Curtorim,,,,,MAINA CURTORIM POLICE STATION,"INCHARGE: ARUN DESSAI, Police Inspector",Contact No: 0832-2991307,Mobile No: 7875756042,Email: pi-mainacurtorim[at]goapolice[dot]gov[dot]in,Fax No: 0832-2714787,
15.295885,73.973551,Loading...,,,,,Fatorda,,,,,Loading...,,,,,,
15.277818,73.926584,Loading...,,,,,Colva,,,,,Loading...,,,,,,
15.168828,74.010183,Loading...,,,,,Cuncolim,,,,,Loading...,,,,,,
15.226109,74.076196,Loading...,,,,,Quepem,,,,,Loading...,,,,,,
15.261262,74.107324,Loading...,,,,,Curchorem,,,,,Loading...,,,,,,
15.228535,74.154170,Sanguem,Ditendra Naik,7875756046,0832-2604233,pi-sanguem@goapolice.gov.in,Sanguem,,,,,SANGUEM POLICE STATION,"INCHARGE: DITENDRA NAIK, Police Inspector",Contact No: 0832-2604233,Mobile No: 7875756046,Email: pi-sanguem[at]goapolice[dot]gov[dot]in,Fax No: 0832-2604233,
15.006671,74.058022,Loading...,,,,,Canacona,,,,,Loading...,,,,,,
