Latitude,Longitude,Name,Principal,Mobile,Email,Capacity,Panchayat
15.257460,74.108740,"Cambridge Primary School, Curchorem. 403706.",Matilda fernandes,9405140993,cambridgecurchorem@yahoo.com,151,Curchorem Cacora
15.258000,74.108730,"Chetna Education Society School & Rehabilitation Centre for Special Children, Curchorem-Goa",Rubiya kakodkar,9822982222,chetatrustgoa@gmail.com,125,Curchorem Cacora
15.155200,74.112800,"Fr. Agnel Primary School, Curchorem,",Fr. Vital Miranda,26686031,fapschoolcurchorem@gmail.com,77,Rivona
15.263220,74.102640,"Chandrabhaga Jan Utkarsh Pry School, Curchorem",Minaxi naik,,chandrabhagaschool@gmail.com,80,Curchorem Cacora
15.222000,74.087040,"Our Lady Mother of Poor High School, Tilamol, Sheldem",Isabel marta cardoso,2662539,olmph123@ymail.com,385,Xeldem
15.222000,74.087040,"Our Lady Mother of Poor Primary School, Tilamol",Isabel marta cardozo,2662539,olmph123@ymail.com,244,Xeldem
15.188960,74.097020,G.P.S. Zambaulim,Sorojini Dessai,9359780980,ghszambaulim@yahoo.com,23,Rivona
15.180480,74.105060,"Our Lady of Fatima High School, Rivona,",Fr. Janico Richard crasto,935678980,01fhsr099.04@gmail.com,169,Rivona
15.148240,74.131460,"Govt. High School, Colamb, Rivona, Sanguem.",Veniza cardozo,9049443773,ghscolriv@gmail.com,172,Rivona
15.212090,74.073570,"Tiny Tots K.G. & Primary School, Quepem. 403 705.",Lynette goes,9822228727,tinytotsaucpcm@yahoo.com,250,Quepem
15.214530,74.070140,"Holy Cross Institute, Quepem 403 705.",Shari Rashmi Dsouza,2662076,hollycross_Quepem@yahoo.com,540,Quepem
15.172560,74.106560,"Our Lady of Rosary Pry. School, Fatimawado,Rivona ,Sanguem",Fr. Janico Richard crasto,8669521456,rosrayprimarysanguem0104@gmail.com,95,Rivona
15.454159,73.963206,"International Sadguru Gurukulam Tapobhumi, Kundaim-Ponda",Mrs. Isha Rupesh Naik Bhamaikar,7507771733,isgscholl.ind@gmail.com,112,Kundaim
15.454116,73.962907,"Sadguru Dnyanpeeth Shree Kshetra Tapobhumi, Kundaim",Amita R Gawas,7507771733,sadgurudnyanpeeth@gmail.com,91,Kundaim
15.454031,73.963367,"New English School, Kundaim Ponda",Mrs Neeta P. Mardolkar,7498180117,nes.kundai@gmail.com,152,Kundaim
15.463392,73.961514,G.P.S. Kundaim Bazar,Mrs. Rewa R. Naik,9370792323,gpsbzkundai53@gmail.com,74,Kundaim
15.453055,73.952721,"G.P.S.New Building, Kundaim",Shailaja S. Mulvi,9762662173,shailajamulvi123@gmail.com,64,Kundaim
15.446720,73.968804,"V.D.& S.V. Wagle High School, Mangeshi-Mardol",Mrs. Mithasha M. Aigal,,waglehighschool@gmail.com,1165,"Veling,Priol,Cuncoliem"
15.420438,73.944789,"Shree Navdurga Vidyalaya, Marcaim,",Ranjeeta R. Sirsat,9923506540,ranjeetasirsat@gmail.com,140,Marcaim
15.458585,73.958943,"Govt. High School, Kundaim, Ponda.",Mrs. Swati S. Perni,9823553958,ghskundai0@gmail.com,127,Kundaim
15.434280,73.951304,"G.P.S. Mauzo, Kundaim",Miss Varsha V. Borkar,9823330952,varshavborkar@gmail.com,25,Kundaim
15.415219,73.955612,Shri Navdurga Edu.& Cult. So. Anandibai Naik H.S. Karanjal,Umakant L Naik,9673909160,nbharat82@gmail.com,223,Marcaim
15.438138,73.980248,"C.E. Society’s Shiksha Sadan, Priol, Mardol",Mrs. Shobha S. Priolkar,9765729475,priolkar17@gmail.com,205,"Veling,Priol,Cuncoliem"
15.430893,73.987961,"S.S.M.’s Swastik Vidyalaya, Priol, Mardol",S. V. Amshekar,2343610,swastikvidyalaya@gmail.com,160,"Veling,Priol,Cuncoliem"
15.437228,73.999759,"G.P.S Karmale, Querim",Mrs. Pravina D. Rasaikar,8888542514,rarsaikarpravina@gmail.com,14,"Veling,Priol,Cuncoliem"
15.442210,73.972754,G.P.S. Mardol,Mrs. Kirti G. Naik,9673108584,knaik033@gmail.com,24,"Veling,Priol,Cuncoliem"
15.167410,74.108030,"Utkarsha High School, Rivona, Sanguem 403 705.",Neha bandari,9823694608,Utkarshrivona@gmail.com,157,Rivona
15.188960,74.097020,"Govt. High School, Zambaulim, Rivona, Sanguem",Veniza cardozo,9049443773,ghszambaulim@yahoo.com,98,Rivona
15.162650,74.110970,G.P.S. Rivona,Amita Rane,8766983206,raneamita1970@gmail.com,28,Rivona
15.475576,73.844379,"St.Cruz High School, St. Cruz, Ilhas,",J. J. V. Russell Coutinho ( Headmaster),,schs1962@rediffmail.com,919,St. Cruz
15.495260,73.914050,"Old Goa Educational Institute, Katyebhat, Ella Old Goa",Dattaram S shetkar,9527436372,dsshetkar@gmail.com,325,Se-Old-Goa
15.495260,73.914050,"Nandanvan Pry School, Katyebhat, Ela, Old Goa",Dattaram S Shetkar ,9527436372,dsshetkar@gmail.com,157,Se-Old-Goa
15.495260,73.914050,"Vassant V. S. Kukalekar Hr Secondary School, Ela Old Goa",Lonna Lotlekar,9890219262,lonna.dias@rediffmail.com,127,Se-Old-Goa
15.148360,74.129320,G.P.S. Colamb,Suganda velip,9404456451,guruvelip12345@gmail.com,42,Rivona
15.138140,74.135190,G.P.S. Kevan,Yesu Velip,9322753093,gayatrigaonkar5@gmail.com,21,Rivona
15.095370,74.217820,G.P.S. Neturlim,Sharmila Gaonkar,9423602134,gaonkarsharmila95@gmail.com,45,Neturlim
15.500240,73.908020,"G.P.S. Ella, Old Goa",Miss. Roshan Savlo Sawant,7798619130,roshnsawnt99@gmail.com,34,Se-Old-Goa
15.103050,74.195000,G.P.S. Vichundrem,Ranjana B Desai,9404909854,ranjanadhond68@gmail.com,35,Neturlim
15.487070,73.874970,"Jadeed Primary School, Indira Nagar, Chimbel",Mr. Fayyaz Ahmed Mulla,9423810541,jadeedschool@gmail.com,205,Chimbel
15.098840,74.209590,"Govt. High School, Netorlim, Sanguem. 403 704.",Damodar R Gaonkar,,ghsnetraulim@yahoo.com,259,Neturlim
15.487070,73.874970,"Jadeed English High School, Indira Nagar, Chimbel",Mr. Fayyaz Ahmed Mulla ,9423810541,jadeedschool@gmail.com,170,Chimbel
15.487070,73.874970,"Jadeed Urdu High School, Indira Nagar, Chimbel",Mr. Fayyaz Ahmed Mulla ,9423810541,jadeedschool@gmail.com,12,Chimbel
15.191550,74.113380,"Govt. High School, Molkornem, P.O. Sanguem,",Sindhu Prabhu Dessai,,ghsmq-@yahoo.com,102,Molcornem
15.492410,73.873330,"Husn Mayarh English medium High School, Chimbel",Lynn Rodrigues ,8446602642,husnmayrah@gmail.com,101,Chimbel
15.492410,73.873330,"Husn Sahara Konkani Primary School, Chimbel",Lynn Rodrigues ,8446602642,saharachimbel@gmail.com,167,Chimbel
15.186080,74.126010,"G.P.S. Gaonkarwada, Malkarnem",Josna Prabhu Dessai,9421746968,josnaprabhugaonkar@gmail.com,46,Molcornem
15.185690,74.127520,"G.P.S. Bhindem, Malkarnem",Chitra C Gaonkar,7588460742,chitragaonkar324567@gmail.com,15,Molcornem
15.567090,73.848820,"Sunshine worldwide Higher Secondary School, Baigainim",Ms. Sindu Hemanth,9923084795,principal@sunshineworldwideschool.in,920,Pomburpa-Olaulim
